OG	Query_species	Target_species	Query_accession	Target_accession	Query_length	Target_length	Alignment_length	Bit_score	Evalue	Normalized_bit_score
OG11139	Tomato	Potato	Solyc08g068480.1.1	PGSC0003DMP400037584	79	86	77	145.0	1.39e-47	1.7607447748012954
OG11139	S. pimp	Potato	SPI08g05168.1	PGSC0003DMP400037584	89	86	77	145.0	2.99e-47	1.6576299973869872
OG11139	Potato	Tomato	PGSC0003DMP400037584	Solyc08g068480.1.1	86	79	77	145.0	1.0400000000000001e-47	1.7607447748012954
OG11942	Tomato	Wild pepper	Solyc01g060050.3.1	Capang01g001819	492	572	417	517.0	2.91e-180	0.9752970606629143
OG11942	Dom. pepper	Tomato	Capana00g002207	Solyc01g060050.3.1	572	492	417	515.0	1.95e-179	0.9752970606629143
OG11942	Wild pepper	Dom. pepper	Capang01g001819	Capana00g002207	572	572	572	1087.0	0.0	1.9003496503496504
OG11942	Tomato	Dom. pepper	Solyc01g060050.3.1	Capana00g002207	492	572	417	517.0	3.02e-180	0.9752970606629143
OG11942	Wild pepper	Tomato	Capang01g001819	Solyc01g060050.3.1	572	492	417	515.0	1.95e-179	0.9752970606629143
OG11942	Dom. pepper	Wild pepper	Capana00g002207	Capang01g001819	572	572	572	1087.0	0.0	1.9003496503496504
OG14472	Tomato	Potato	Solyc11g011030.2.1	PGSC0003DMP400027452	229	229	229	423.0	1.31e-152	1.8471615720524017
OG14472	Potato	Tomato	PGSC0003DMP400027452	Solyc11g011030.2.1	229	229	229	423.0	6.36e-153	1.8471615720524017
OG14472	Tomato Cherry	S. pimp	SLYcer11g00627.1	SPI11g00767.1	228	228	228	447.0	2.02e-162	1.9605263157894737
OG14472	S. pimp	Tomato	SPI11g00767.1	Solyc11g011030.2.1	228	229	228	443.0	1.0300000000000001e-160	1.9365471539109782
OG14472	S. pimp	Tomato Cherry	SPI11g00767.1	SLYcer11g00627.1	228	228	228	447.0	2.05e-162	1.9605263157894737
OG14472	S. pimp	Potato	SPI11g00767.1	PGSC0003DMP400027452	228	229	228	422.0	2.54e-152	1.846835976403892
OG14472	S. Pennelli	Potato	Sopen11g005800.1	PGSC0003DMP400027452	228	229	228	426.0	5.3500000000000003e-154	1.8665345131387419
OG14472	Potato	S. Pennelli	PGSC0003DMP400027452	Sopen11g005800.1	229	228	228	427.0	2.81e-154	1.8665345131387419
OG14472	S. Pennelli	S. pimp	Sopen11g005800.1	SPI11g00767.1	228	228	228	436.0	5.33e-158	1.9166666666666665
OG14472	Potato	Tomato Cherry	PGSC0003DMP400027452	SLYcer11g00627.1	229	228	228	422.0	3.49e-152	1.846835976403892
OG14472	Tomato Cherry	S. Pennelli	SLYcer11g00627.1	Sopen11g005800.1	228	228	228	438.0	2.06e-158	1.9166666666666665
OG14472	Tomato	S. Pennelli	Solyc11g011030.2.1	Sopen11g005800.1	229	228	228	439.0	7.49e-159	1.9190511759748716
OG14472	Tomato	S. pimp	Solyc11g011030.2.1	SPI11g00767.1	229	228	228	442.0	2.87e-160	1.9365471539109782
OG14472	Tomato Cherry	Potato	SLYcer11g00627.1	PGSC0003DMP400027452	228	229	228	422.0	2.54e-152	1.846835976403892
OG14472	S. Pennelli	Tomato	Sopen11g005800.1	Solyc11g011030.2.1	228	229	228	438.0	6.919999999999999e-159	1.9190511759748716
OG14472	S. Pennelli	Tomato Cherry	Sopen11g005800.1	SLYcer11g00627.1	228	228	228	436.0	5.4e-158	1.9166666666666665
OG14472	Tomato Cherry	Tomato	SLYcer11g00627.1	Solyc11g011030.2.1	228	229	228	443.0	1.0300000000000001e-160	1.9365471539109782
OG14472	Tomato	Tomato Cherry	Solyc11g011030.2.1	SLYcer11g00627.1	229	228	228	442.0	2.9e-160	1.9365471539109782
OG14472	S. pimp	S. Pennelli	SPI11g00767.1	Sopen11g005800.1	228	228	228	438.0	2.06e-158	1.9166666666666665
OG14472	Potato	S. pimp	PGSC0003DMP400027452	SPI11g00767.1	229	228	228	422.0	3.4499999999999998e-152	1.846835976403892
OG14516	S. Pennelli	S. pimp	Sopen02g018930.1	SPI02g02680.1	516	516	516	859.0	1.7e-315	1.6647286821705427
OG14516	Tomato Cherry	S. pimp	SLYcer02g03783.1	SPI02g02680.1	516	516	516	861.0	2.94e-316	1.6656976744186047
OG14516	Potato	Tomato	PGSC0003DMP400036743	Solyc02g069770.3.1	517	517	517	842.0	9.43e-309	1.6392649903288201
OG14516	Tomato	S. pimp	Solyc02g069770.3.1	SPI02g02680.1	517	516	516	862.0	1.52e-316	1.6650585518720105
OG14516	Potato	S. Pennelli	PGSC0003DMP400036743	Sopen02g018930.1	517	516	516	842.0	1.3899999999999997e-308	1.6379417630036137
OG14516	S. pimp	S. Pennelli	SPI02g02680.1	Sopen02g018930.1	516	516	516	859.0	1.88e-315	1.6647286821705427
OG14516	Potato	Tomato Cherry	PGSC0003DMP400036743	SLYcer02g03783.1	517	516	516	841.0	1.8e-308	1.6389070067323406
OG14516	Tomato	Tomato Cherry	Solyc02g069770.3.1	SLYcer02g03783.1	517	516	516	867.0	7.8e-319	1.678607575007872
OG14516	S. pimp	Tomato Cherry	SPI02g02680.1	SLYcer02g03783.1	516	516	516	858.0	2.44e-315	1.6656976744186047
OG14516	S. Pennelli	Tomato Cherry	Sopen02g018930.1	SLYcer02g03783.1	516	516	516	859.0	1.72e-315	1.6676356589147288
OG14516	Tomato	S. Pennelli	Solyc02g069770.3.1	Sopen02g018930.1	517	516	516	862.0	1.18e-316	1.6660256698604052
OG14516	S. pimp	Tomato	SPI02g02680.1	Solyc02g069770.3.1	516	517	516	858.0	1.81e-315	1.6650585518720105
OG14516	S. Pennelli	Potato	Sopen02g018930.1	PGSC0003DMP400036743	516	517	516	850.0	4.15e-312	1.6379417630036137
OG14516	Potato	S. pimp	PGSC0003DMP400036743	SPI02g02680.1	517	516	516	841.0	1.78e-308	1.6369727707555515
OG14516	Tomato Cherry	S. Pennelli	SLYcer02g03783.1	Sopen02g018930.1	516	516	516	862.0	2.3e-316	1.6676356589147288
OG14516	Tomato Cherry	Tomato	SLYcer02g03783.1	Solyc02g069770.3.1	516	517	516	867.0	1.11e-318	1.678607575007872
OG14516	S. pimp	Potato	SPI02g02680.1	PGSC0003DMP400036743	516	517	516	850.0	5.89e-312	1.6369727707555515
OG14516	S. Pennelli	Tomato	Sopen02g018930.1	Solyc02g069770.3.1	516	517	516	859.0	1.27e-315	1.6660256698604052
OG14516	Tomato Cherry	Potato	SLYcer02g03783.1	PGSC0003DMP400036743	516	517	516	852.0	7.19e-313	1.6389070067323406
OG14516	Tomato	Potato	Solyc02g069770.3.1	PGSC0003DMP400036743	517	517	517	853.0	2.61e-313	1.6392649903288201
OG14951	S. Pennelli	Potato	Sopen02g019960.1	PGSC0003DMP400014551	246	245	246	422.0	6.57e-152	1.7270781483325037
OG14951	Potato	S. Pennelli	PGSC0003DMP400014551	Sopen02g019960.1	245	246	246	426.0	4.16e-153	1.7270781483325037
OG14951	Wild pepper	Potato	Capang05g000415	PGSC0003DMP400014551	244	245	244	407.0	1.07e-145	1.6646286383405822
OG14951	Dom. pepper	Wild pepper	Capana00g002809	Capang05g000415	244	244	244	449.0	8.57e-163	1.8442622950819674
OG14951	Wild pepper	Dom. pepper	Capang05g000415	Capana00g002809	244	244	244	451.0	3.1000000000000004e-163	1.8442622950819674
OG14951	Potato	Dom. pepper	PGSC0003DMP400014551	Capana00g002809	245	244	244	406.0	1.53e-145	1.6564570090331214
OG14951	S. Pennelli	Wild pepper	Sopen02g019960.1	Capang05g000415	246	244	246	395.0	4.02e-141	1.616336798613888
OG14951	Dom. pepper	Tomato	Capana00g002809	Solyc02g070880.1.1	244	247	246	391.0	9.8e-140	1.5927274839052235
OG14951	Dom. pepper	S. Pennelli	Capana00g002809	Sopen02g019960.1	244	246	246	395.0	6.16e-141	1.6102225776356125
OG14951	Wild pepper	Tomato	Capang05g000415	Solyc02g070880.1.1	244	247	246	394.0	1.19e-140	1.6008495387270192
OG14951	Potato	Tomato	PGSC0003DMP400014551	Solyc02g070880.1.1	245	247	247	421.0	2.7e-151	1.7052879451375693
OG14951	Tomato	S. Pennelli	Solyc02g070880.1.1	Sopen02g019960.1	247	246	246	447.0	2.66e-161	1.8113705934630198
OG14951	Tomato	Wild pepper	Solyc02g070880.1.1	Capang05g000415	247	244	246	392.0	4.88e-140	1.6008495387270192
OG14951	S. Pennelli	Tomato	Sopen02g019960.1	Solyc02g070880.1.1	246	247	246	446.0	3.49e-161	1.8113705934630198
OG14951	Tomato	Potato	Solyc02g070880.1.1	PGSC0003DMP400014551	247	245	247	418.0	3.24e-150	1.7052879451375693
OG14951	Dom. pepper	Potato	Capana00g002809	PGSC0003DMP400014551	244	245	244	404.0	8.78e-145	1.6564570090331214
OG14951	Potato	Wild pepper	PGSC0003DMP400014551	Capang05g000415	245	244	244	407.0	5.16e-146	1.6646286383405822
OG14951	S. Pennelli	Dom. pepper	Sopen02g019960.1	Capana00g002809	246	244	246	394.0	1.19e-140	1.6102225776356125
OG14951	Tomato	Dom. pepper	Solyc02g070880.1.1	Capana00g002809	247	244	246	391.0	1.45e-139	1.5927274839052235
OG14951	Wild pepper	S. Pennelli	Capang05g000415	Sopen02g019960.1	244	246	246	397.0	7.519999999999999e-142	1.616336798613888
OG14996	S. Pennelli	Dom. pepper	Sopen01g045960.1	Capana08g001840	166	135	117	140.0	1.72e-43	0.9462293618920125
OG14996	Wild pepper	S. Pennelli	Capang01g004406	Sopen01g045960.1	140	166	122	162.0	1.14e-51	1.0629518072289157
OG14996	Dom. pepper	S. Pennelli	Capana08g001840	Sopen01g045960.1	135	166	117	142.0	7.35e-44	0.9462293618920125
OG14996	Wild pepper	Potato	Capang01g004406	PGSC0003DMP400043215	140	94	93	120.0	1.5300000000000002e-36	1.0740121580547113
OG14996	Dom. pepper	Potato	Capana08g001840	PGSC0003DMP400043215	135	94	93	96.3	6.6e-27	0.8674192277383768
OG14996	S. Pennelli	Potato	Sopen01g045960.1	PGSC0003DMP400043215	166	94	93	121.0	1.91e-36	1.014098948987439
OG14996	Potato	S. Pennelli	PGSC0003DMP400043215	Sopen01g045960.1	94	166	93	123.0	4.0100000000000005e-37	1.014098948987439
OG14996	Potato	Tomato	PGSC0003DMP400043215	Solyc01g103595.1.1	94	134	93	125.0	1.27e-38	1.115354080660527
OG14996	Dom. pepper	Wild pepper	Capana08g001840	Capang01g004406	135	140	140	241.0	7.96e-84	1.745899470899471
OG14996	Tomato	Dom. pepper	Solyc01g103595.1.1	Capana08g001840	134	135	107	121.0	2.06e-36	0.903372028745163
OG14996	Tomato	Potato	Solyc01g103595.1.1	PGSC0003DMP400043215	134	94	93	122.0	2.14e-37	1.115354080660527
OG14996	Wild pepper	Dom. pepper	Capang01g004406	Capana08g001840	140	135	140	239.0	4.95e-83	1.745899470899471
OG14996	Tomato	Wild pepper	Solyc01g103595.1.1	Capang01g004406	134	140	112	142.0	1.04e-44	1.036993603411514
OG14996	S. Pennelli	Tomato	Sopen01g045960.1	Solyc01g103595.1.1	166	134	133	255.0	5.24e-89	1.7225768746628305
OG14996	Dom. pepper	Tomato	Capana08g001840	Solyc01g103595.1.1	135	134	107	122.0	7.09e-37	0.903372028745163
OG14996	Potato	Wild pepper	PGSC0003DMP400043215	Capang01g004406	94	140	93	122.0	1.73e-37	1.0740121580547113
OG14996	Tomato	S. Pennelli	Solyc01g103595.1.1	Sopen01g045960.1	134	166	133	256.0	4.5599999999999994e-89	1.7225768746628305
OG14996	Wild pepper	Tomato	Capang01g004406	Solyc01g103595.1.1	140	134	112	142.0	1.09e-44	1.036993603411514
OG14996	S. Pennelli	Wild pepper	Sopen01g045960.1	Capang01g004406	166	140	122	161.0	8.75e-52	1.0629518072289157
OG14996	Potato	Dom. pepper	PGSC0003DMP400043215	Capana08g001840	94	135	93	95.9	4.6000000000000006e-27	0.8674192277383768
OG15006	Tomato	Dom. pepper	Solyc02g079110.3.1	Capana02g002046	443	445	417	788.0	5.11e-290	1.77252644127121
OG15006	Tomato	Potato	Solyc02g079110.3.1	PGSC0003DMP400038846	443	443	443	873.0	0.0	1.969525959367946
OG15006	Dom. pepper	Potato	Capana02g002046	PGSC0003DMP400038846	445	443	431	778.0	4.67e-286	1.7556319273594236
OG15006	Dom. pepper	Wild pepper	Capana02g002046	Capang02g001839	445	445	445	893.0	0.0	2.006741573033708
OG15006	S. Pennelli	Potato	Sopen02g023920.1	PGSC0003DMP400038846	442	443	442	869.0	0.0	1.963844315291666
OG15006	S. Pennelli	Wild pepper	Sopen02g023920.1	Capang02g001839	442	445	417	785.0	7.84e-289	1.767769078244954
OG15006	Tomato	Wild pepper	Solyc02g079110.3.1	Capang02g001839	443	445	417	788.0	4.93e-290	1.77252644127121
OG15006	Wild pepper	Tomato	Capang02g001839	Solyc02g079110.3.1	445	443	417	786.0	2.89e-289	1.77252644127121
OG15006	Potato	Tomato	PGSC0003DMP400038846	Solyc02g079110.3.1	443	443	443	872.0	0.0	1.969525959367946
OG15006	S. Pennelli	Dom. pepper	Sopen02g023920.1	Capana02g002046	442	445	417	785.0	8.1200000000000005e-289	1.767769078244954
OG15006	Potato	Dom. pepper	PGSC0003DMP400038846	Capana02g002046	443	445	431	781.0	2.82e-287	1.7556319273594236
OG15006	Wild pepper	Potato	Capang02g001839	PGSC0003DMP400038846	445	443	431	778.0	4.67e-286	1.7556319273594236
OG15006	Wild pepper	S. Pennelli	Capang02g001839	Sopen02g023920.1	445	442	417	783.0	9.999999999999999e-288	1.767769078244954
OG15006	Dom. pepper	S. Pennelli	Capana02g002046	Sopen02g023920.1	445	442	417	783.0	9.999999999999999e-288	1.767769078244954
OG15006	Wild pepper	Dom. pepper	Capang02g001839	Capana02g002046	445	445	445	893.0	0.0	2.006741573033708
OG15006	Potato	S. Pennelli	PGSC0003DMP400038846	Sopen02g023920.1	443	442	442	869.0	0.0	1.963844315291666
OG15006	S. Pennelli	Tomato	Sopen02g023920.1	Solyc02g079110.3.1	442	443	442	902.0	0.0	2.038420681695147
OG15006	Potato	Wild pepper	PGSC0003DMP400038846	Capang02g001839	443	445	431	781.0	2.72e-287	1.7556319273594236
OG15006	Dom. pepper	Tomato	Capana02g002046	Solyc02g079110.3.1	445	443	417	786.0	2.89e-289	1.77252644127121
OG15006	Tomato	S. Pennelli	Solyc02g079110.3.1	Sopen02g023920.1	443	442	442	902.0	0.0	2.038420681695147
OG15735	S. pimp	Dom. pepper	SPI01g05990.1	Capana01g003165	224	223	224	318.0	1.18e-111	1.4362187700192184
OG15735	Tomato	Dom. pepper	Solyc01g067340.3.1	Capana01g003165	219	223	224	320.0	3.38e-112	1.4572148166349284
OG15735	Tomato Cherry	Wild pepper	SLYcer01g05809.1	Capang08g000097	218	223	224	318.0	1.81e-111	1.4538301723783271
OG15735	S. pimp	S. Pennelli	SPI01g05990.1	Sopen01g029220.1	224	216	185	348.0	5.2300000000000005e-123	1.5845734126984126
OG15735	S. Pennelli	Tomato Cherry	Sopen01g029220.1	SLYcer01g05809.1	216	218	185	349.0	6.450000000000001e-124	1.6060142711518859
OG15735	Tomato	Tomato Cherry	Solyc01g067340.3.1	SLYcer01g05809.1	219	218	218	411.0	3.01e-148	1.878733609819446
OG15735	Tomato Cherry	S. pimp	SLYcer01g05809.1	SPI01g05990.1	218	224	218	410.0	7.16e-148	1.8555455439056356
OG15735	Dom. pepper	S. pimp	Capana01g003165	SPI01g05990.1	223	224	224	324.0	8.219999999999999e-114	1.4362187700192184
OG15735	Tomato Cherry	Tomato	SLYcer01g05809.1	Solyc01g067340.3.1	218	219	218	410.0	4.33e-148	1.878733609819446
OG15735	Wild pepper	Dom. pepper	Capang08g000097	Capana01g003165	223	223	223	426.0	3.53e-154	1.9103139013452914
OG15735	Dom. pepper	S. Pennelli	Capana01g003165	Sopen01g029220.1	223	216	191	277.0	3.59e-95	1.2577956319548247
OG15735	Dom. pepper	Tomato Cherry	Capana01g003165	SLYcer01g05809.1	223	218	224	324.0	6.75e-114	1.4583659028263463
OG15735	S. pimp	Tomato Cherry	SPI01g05990.1	SLYcer01g05809.1	224	218	218	410.0	1.06e-147	1.8555455439056356
OG15735	Wild pepper	S. pimp	Capang08g000097	SPI01g05990.1	223	224	224	323.0	3.34e-113	1.431744474695708
OG15735	Tomato Cherry	Dom. pepper	SLYcer01g05809.1	Capana01g003165	218	223	224	319.0	6.55e-112	1.4583659028263463
OG15735	S. Pennelli	Dom. pepper	Sopen01g029220.1	Capana01g003165	216	223	191	275.0	1.9e-94	1.2577956319548247
OG15735	Tomato	S. Pennelli	Solyc01g067340.3.1	Sopen01g029220.1	219	216	185	348.0	3.02e-123	1.602359208523592
OG15735	Tomato	Wild pepper	Solyc01g067340.3.1	Capang08g000097	219	223	224	318.0	9.35e-112	1.4504474066793618
OG15735	Wild pepper	Tomato Cherry	Capang08g000097	SLYcer01g05809.1	223	218	224	323.0	2.74e-113	1.4538301723783271
OG15735	S. pimp	Wild pepper	SPI01g05990.1	Capang08g000097	224	223	224	317.0	3.25e-111	1.431744474695708
OG15735	S. Pennelli	S. pimp	Sopen01g029220.1	SPI01g05990.1	216	224	185	349.0	7.88e-124	1.5845734126984126
OG15735	Tomato Cherry	S. Pennelli	SLYcer01g05809.1	Sopen01g029220.1	218	216	185	348.0	2.9000000000000004e-123	1.6060142711518859
OG15735	Tomato	S. pimp	Solyc01g067340.3.1	SPI01g05990.1	219	224	218	411.0	3.69e-148	1.853483773646445
OG15735	Wild pepper	S. Pennelli	Capang08g000097	Sopen01g029220.1	223	216	191	276.0	1.46e-94	1.2509965122072746
OG15735	S. pimp	Tomato	SPI01g05990.1	Solyc01g067340.3.1	224	219	218	410.0	7.84e-148	1.853483773646445
OG15735	Wild pepper	Tomato	Capang08g000097	Solyc01g067340.3.1	223	219	224	323.0	2.03e-113	1.4504474066793618
OG15735	Dom. pepper	Wild pepper	Capana01g003165	Capang08g000097	223	223	223	426.0	2.4000000000000002e-154	1.9103139013452914
OG15735	S. Pennelli	Wild pepper	Sopen01g029220.1	Capang08g000097	216	223	191	273.0	5.25e-94	1.2509965122072746
OG15735	Dom. pepper	Tomato	Capana01g003165	Solyc01g067340.3.1	223	219	224	324.0	5e-114	1.4572148166349284
OG15735	S. Pennelli	Tomato	Sopen01g029220.1	Solyc01g067340.3.1	216	219	185	349.0	4.78e-124	1.602359208523592
OG15762	Tomato Cherry	Tomato	SLYcer04g05213.1	Solyc04g076020.3.1	842	762	740	1468.0	0.0	1.8338009114656393
OG15762	S. pimp	Wild pepper	SPI04g04701.1	Capang04g000853	842	666	666	1226.0	0.0	1.6478550997553372
OG15762	Tomato Cherry	S. pimp	SLYcer04g05213.1	SPI04g04701.1	842	842	842	1671.0	0.0	1.984560570071259
OG15762	Dom. pepper	Tomato	Capana04g000891	Solyc04g076020.3.1	711	762	690	1285.0	0.0	1.7475359092771632
OG15762	Tomato Cherry	Wild pepper	SLYcer04g05213.1	Capang04g000853	842	666	666	1228.0	0.0	1.6511380739409243
OG15762	S. pimp	S. Pennelli	SPI04g04701.1	Sopen04g029970.1	842	761	740	1439.0	0.0	1.7987919071355667
OG15762	Tomato Cherry	S. Pennelli	SLYcer04g05213.1	Sopen04g029970.1	842	761	740	1441.0	0.0	1.8018874402664329
OG15762	Tomato	Dom. pepper	Solyc04g076020.3.1	Capana04g000891	762	711	690	1286.0	0.0	1.7475359092771632
OG15762	Wild pepper	S. pimp	Capang04g000853	SPI04g04701.1	666	842	666	1225.0	0.0	1.6478550997553372
OG15762	Tomato Cherry	Dom. pepper	SLYcer04g05213.1	Capana04g000891	842	711	690	1286.0	0.0	1.666830365047389
OG15762	S. Pennelli	Tomato	Sopen04g029970.1	Solyc04g076020.3.1	761	762	761	1496.0	0.0	1.9645445107797794
OG15762	Dom. pepper	S. pimp	Capana04g000891	SPI04g04701.1	711	842	690	1281.0	0.0	1.6629391877219533
OG15762	S. Pennelli	S. pimp	Sopen04g029970.1	SPI04g04701.1	761	842	740	1437.0	0.0	1.7987919071355667
OG15762	Wild pepper	Tomato Cherry	Capang04g000853	SLYcer04g05213.1	666	842	666	1228.0	0.0	1.6511380739409243
OG15762	S. Pennelli	Wild pepper	Sopen04g029970.1	Capang04g000853	761	666	666	1222.0	0.0	1.7203083504003347
OG15762	Wild pepper	S. Pennelli	Capang04g000853	Sopen04g029970.1	666	761	666	1222.0	0.0	1.7203083504003347
OG15762	Tomato	S. pimp	Solyc04g076020.3.1	SPI04g04701.1	762	842	740	1464.0	0.0	1.831300927051577
OG15762	S. pimp	Tomato Cherry	SPI04g04701.1	SLYcer04g05213.1	842	842	842	1671.0	0.0	1.984560570071259
OG15762	S. Pennelli	Dom. pepper	Sopen04g029970.1	Capana04g000891	761	711	690	1280.0	0.0	1.740482302692253
OG15762	Dom. pepper	Wild pepper	Capana04g000891	Capang04g000853	711	666	666	1310.0	0.0	1.9047211768730756
OG15762	Tomato	Tomato Cherry	Solyc04g076020.3.1	SLYcer04g05213.1	762	842	740	1466.0	0.0	1.8338009114656393
OG15762	S. pimp	Tomato	SPI04g04701.1	Solyc04g076020.3.1	842	762	740	1466.0	0.0	1.831300927051577
OG15762	Dom. pepper	S. Pennelli	Capana04g000891	Sopen04g029970.1	711	761	690	1279.0	0.0	1.740482302692253
OG15762	S. Pennelli	Tomato Cherry	Sopen04g029970.1	SLYcer04g05213.1	761	842	740	1440.0	0.0	1.8018874402664329
OG15762	Tomato	Wild pepper	Solyc04g076020.3.1	Capang04g000853	762	666	666	1228.0	0.0	1.7283523681161477
OG15762	Wild pepper	Tomato	Capang04g000853	Solyc04g076020.3.1	666	762	666	1229.0	0.0	1.7283523681161477
OG15762	Wild pepper	Dom. pepper	Capang04g000853	Capana04g000891	666	711	666	1310.0	0.0	1.9047211768730756
OG15762	Tomato	S. Pennelli	Solyc04g076020.3.1	Sopen04g029970.1	762	761	761	1496.0	0.0	1.9645445107797794
OG15762	Dom. pepper	Tomato Cherry	Capana04g000891	SLYcer04g05213.1	711	842	690	1284.0	0.0	1.666830365047389
OG15762	S. pimp	Dom. pepper	SPI04g04701.1	Capana04g000891	842	711	690	1283.0	0.0	1.6629391877219533
OG15986	Tomato Cherry	Wild pepper	SLYcer03g02312.1	Capang00g002236	315	290	271	520.0	1.4499999999999998e-188	1.7251231527093598
OG15986	Wild pepper	Dom. pepper	Capang00g002236	Capana03g002814	290	290	290	573.0	3.6000000000000006e-210	1.9758620689655173
OG15986	Wild pepper	S. Pennelli	Capang00g002236	Sopen03g013810.1	290	315	271	522.0	2.5099999999999996e-189	1.7251231527093598
OG15986	S. pimp	Tomato Cherry	SPI03g02435.1	SLYcer03g02312.1	315	315	315	587.0	7.79e-215	1.8634920634920635
OG15986	Tomato	Dom. pepper	Solyc03g059310.3.1	Capana03g002814	316	290	271	520.0	1.5599999999999998e-188	1.7225010912265386
OG15986	S. Pennelli	Wild pepper	Sopen03g013810.1	Capang00g002236	315	290	271	520.0	1.4499999999999998e-188	1.7251231527093598
OG15986	Tomato Cherry	Tomato	SLYcer03g02312.1	Solyc03g059310.3.1	315	316	315	587.0	5.790000000000001e-215	1.8605435001004622
OG15986	Tomato	Wild pepper	Solyc03g059310.3.1	Capang00g002236	316	290	271	520.0	1.5099999999999998e-188	1.7225010912265386
OG15986	Tomato Cherry	S. Pennelli	SLYcer03g02312.1	Sopen03g013810.1	315	315	315	587.0	1.7199999999999999e-214	1.8634920634920635
