OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG15735	(SPI01g05990.1[&&NHX:species=S. pimp],Solyc01g067340.3.1[&&NHX:species=Tomato],SLYcer01g05809.1[&&NHX:species=Tomato Cherry],Sopen01g029220.1[&&NHX:species=S. Pennelli],Capana01g003165[&&NHX:species=Dom. pepper],Capang08g000097[&&NHX:species=Wild pepper])S;	0	0	0	
OG15762	(SLYcer04g05213.1[&&NHX:species=Tomato Cherry],SPI04g04701.1[&&NHX:species=S. pimp],Capana04g000891[&&NHX:species=Dom. pepper],Solyc04g076020.3.1[&&NHX:species=Tomato],Capang04g000853[&&NHX:species=Wild pepper],Sopen04g029970.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG15986	(SLYcer03g02312.1[&&NHX:species=Tomato Cherry],Capang00g002236[&&NHX:species=Wild pepper],SPI03g02435.1[&&NHX:species=S. pimp],Solyc03g059310.3.1[&&NHX:species=Tomato],Sopen03g013810.1[&&NHX:species=S. Pennelli],Capana03g002814[&&NHX:species=Dom. pepper])S;	0	0	0	
OG16040	(Capang03g004356[&&NHX:species=Wild pepper],SPI09g04517.1[&&NHX:species=S. pimp],Sopen09g032280.1[&&NHX:species=S. Pennelli],Solyc09g083360.3.1[&&NHX:species=Tomato],Capana03g004551[&&NHX:species=Dom. pepper],SLYcer09g04857.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG16601	((Sopen02g021210.1[&&NHX:species=S. Pennelli],PGSC0003DMP400049453[&&NHX:species=Potato],SPI02g02920.1[&&NHX:species=S. pimp],Solyc02g072230.3.1[&&NHX:species=Tomato],Capana02g001737[&&NHX:species=Dom. pepper])S,Sopen02g021210.2[&&NHX:species=S. Pennelli])D;	0	0	9	SLYcer02g04025.1
OG16695	((SPI04g00330.1[&&NHX:species=S. pimp],PGSC0003DMP400010653[&&NHX:species=Potato],Solyc04g007430.2.1[&&NHX:species=Tomato],SLYcer04g00349.1[&&NHX:species=Tomato Cherry],Sopen04g002500.1[&&NHX:species=S. Pennelli])S,(PGSC0003DMP400010652[&&NHX:species=Potato],PGSC0003DMP400010651[&&NHX:species=Potato])D)D;	1	1	0	
OG16945	(((PGSC0003DMP400026597[&&NHX:species=Potato],PGSC0003DMP400026596[&&NHX:species=Potato])D,Sopen03g030860.1[&&NHX:species=S. Pennelli],SPI03g04403.1[&&NHX:species=S. pimp],Solyc03g111740.3.1[&&NHX:species=Tomato])S,(PGSC0003DMP400026595[&&NHX:species=Potato],SLYcer03g04348.1[&&NHX:species=Tomato Cherry])S)D;	0	0	0	
OG17282	(Sopen10g029040.1[&&NHX:species=S. Pennelli],Solyc10g078380.2.1[&&NHX:species=Tomato],SPI10g03684.1[&&NHX:species=S. pimp],Capana10g002460[&&NHX:species=Dom. pepper],PGSC0003DMP400014704[&&NHX:species=Potato],SLYcer10g05200.1[&&NHX:species=Tomato Cherry],Capang10g002224[&&NHX:species=Wild pepper])S;	0	0	0	
OG17359	(Sopen06g026220.1[&&NHX:species=S. Pennelli],Capang06g001001[&&NHX:species=Wild pepper],SPI06g04387.1[&&NHX:species=S. pimp],SLYcer06g04530.1[&&NHX:species=Tomato Cherry],Solyc06g068930.2.1[&&NHX:species=Tomato],Capana06g001041[&&NHX:species=Dom. pepper],PGSC0003DMP400050165[&&NHX:species=Potato])S;	0	0	0	
OG17374	(SLYcer09g00279.1[&&NHX:species=Tomato Cherry],Sopen09g001830.1[&&NHX:species=S. Pennelli],SPI09g00183.1[&&NHX:species=S. pimp],PGSC0003DMP400041348[&&NHX:species=Potato],Capana09g002053[&&NHX:species=Dom. pepper],Solyc09g005970.1.1[&&NHX:species=Tomato],Capang09g001588[&&NHX:species=Wild pepper])S;	0	0	0	
OG17378	(Solyc03g119090.3.1[&&NHX:species=Tomato],Capang00g000413[&&NHX:species=Wild pepper],PGSC0003DMP400009954[&&NHX:species=Potato],SLYcer03g05104.1[&&NHX:species=Tomato Cherry],SPI03g05164.1[&&NHX:species=S. pimp],Capana03g000735[&&NHX:species=Dom. pepper],Sopen03g037980.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG17534	(Capang06g000978[&&NHX:species=Wild pepper],PGSC0003DMP400055864[&&NHX:species=Potato],Solyc06g069600.3.1[&&NHX:species=Tomato],Capana00g004742[&&NHX:species=Dom. pepper],SPI06g04468.1[&&NHX:species=S. pimp],SLYcer06g04609.1[&&NHX:species=Tomato Cherry],Sopen06g026900.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG17616	(SPI03g05491.1[&&NHX:species=S. pimp],Sopen03g041110.1[&&NHX:species=S. Pennelli],Capana03g000103[&&NHX:species=Dom. pepper],SLYcer03g05459.1[&&NHX:species=Tomato Cherry],Solyc03g122340.3.1[&&NHX:species=Tomato],PGSC0003DMP400039701[&&NHX:species=Potato],Capang03g000098[&&NHX:species=Wild pepper])S;	0	0	0	
OG17943	(SLYcer01g08347.1[&&NHX:species=Tomato Cherry],Sopen01g051750.1[&&NHX:species=S. Pennelli],Solyc01g109560.3.1[&&NHX:species=Tomato],SPI01g08569.1[&&NHX:species=S. pimp],Capana12g001017[&&NHX:species=Dom. pepper],PGSC0003DMP400001405[&&NHX:species=Potato],Capang01g005057[&&NHX:species=Wild pepper])S;	0	0	0	
OG17959	(Solyc05g005810.4.1[&&NHX:species=Tomato],SLYcer05g00168.1[&&NHX:species=Tomato Cherry],Capang11g001342[&&NHX:species=Wild pepper],Capana11g001368[&&NHX:species=Dom. pepper],Sopen05g001820.1[&&NHX:species=S. Pennelli],SPI05g00184.1[&&NHX:species=S. pimp],PGSC0003DMP400007385[&&NHX:species=Potato])S;	0	0	0	
OG18024	(Capana08g001099[&&NHX:species=Dom. pepper],SLYcer01g07913.1[&&NHX:species=Tomato Cherry],Sopen00g013520.1[&&NHX:species=S. Pennelli],Solyc01g096370.4.1[&&NHX:species=Tomato],PGSC0003DMP400031944[&&NHX:species=Potato],Capang01g003684[&&NHX:species=Wild pepper],SPI01g07360.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18025	(SLYcer09g01159.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400035343[&&NHX:species=Potato],SPI09g01047.1[&&NHX:species=S. pimp],Capang09g001165[&&NHX:species=Wild pepper],Solyc09g013160.3.1[&&NHX:species=Tomato],Capana09g001578[&&NHX:species=Dom. pepper],Sopen09g007020.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG18216	(SPI08g05784.1[&&NHX:species=S. pimp],Solyc08g076820.3.1[&&NHX:species=Tomato],PGSC0003DMP400030631[&&NHX:species=Potato],SLYcer08g05897.1[&&NHX:species=Tomato Cherry],Capana01g001076[&&NHX:species=Dom. pepper],Capang01g000927[&&NHX:species=Wild pepper],Sopen08g025340.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG18261	(SPI09g03574.1[&&NHX:species=S. pimp],PGSC0003DMP400022834[&&NHX:species=Potato],Sopen09g026820.1[&&NHX:species=S. Pennelli],Capang09g001007[&&NHX:species=Wild pepper],SLYcer09g03678.1[&&NHX:species=Tomato Cherry],Solyc09g065100.3.1[&&NHX:species=Tomato],Capana09g001426[&&NHX:species=Dom. pepper])S;	0	0	0	
OG18401	(Sopen01g037050.1[&&NHX:species=S. Pennelli],Capang01g001214[&&NHX:species=Wild pepper],SLYcer01g06798.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400022636[&&NHX:species=Potato],SPI01g07063.1[&&NHX:species=S. pimp],Solyc01g091310.3.1[&&NHX:species=Tomato],Capana01g001392[&&NHX:species=Dom. pepper])S;	0	0	0	
OG18468	(Sopen01g049400.1[&&NHX:species=S. Pennelli],Capang01g004797[&&NHX:species=Wild pepper],SLYcer01g08099.1[&&NHX:species=Tomato Cherry],Capana08g002242[&&NHX:species=Dom. pepper],Solyc01g107140.3.1[&&NHX:species=Tomato],SPI01g08331.1[&&NHX:species=S. pimp],PGSC0003DMP400058818[&&NHX:species=Potato])S;	0	0	0	
OG18568	(Solyc02g078130.3.1[&&NHX:species=Tomato],Capang02g001728[&&NHX:species=Wild pepper],SLYcer02g04205.1[&&NHX:species=Tomato Cherry],Capana02g001947[&&NHX:species=Dom. pepper],SPI02g03104.1[&&NHX:species=S. pimp],PGSC0003DMP400051788[&&NHX:species=Potato],Sopen02g022960.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG18580	(PGSC0003DMP400022973[&&NHX:species=Potato],SPI05g00656.1[&&NHX:species=S. pimp],Capang11g002155[&&NHX:species=Wild pepper],SLYcer05g00623.1[&&NHX:species=Tomato Cherry],Solyc05g009640.4.1[&&NHX:species=Tomato],Sopen05g005450.1[&&NHX:species=S. Pennelli],Capana11g002254[&&NHX:species=Dom. pepper])S;	0	0	0	
OG18790	(Sopen02g030420.1[&&NHX:species=S. Pennelli],Capang02g002483[&&NHX:species=Wild pepper],Capana00g002444[&&NHX:species=Dom. pepper],Solyc02g085730.3.1[&&NHX:species=Tomato],SPI02g03897.1[&&NHX:species=S. pimp],SLYcer02g04974.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400022472[&&NHX:species=Potato])S;	0	0	0	
OG18799	(Capana12g001985[&&NHX:species=Dom. pepper],PGSC0003DMP400007076[&&NHX:species=Potato],Solyc11g005550.2.1[&&NHX:species=Tomato],SPI11g00301.1[&&NHX:species=S. pimp],SLYcer11g00138.1[&&NHX:species=Tomato Cherry],Sopen11g001520.1[&&NHX:species=S. Pennelli],Capang12g001671[&&NHX:species=Wild pepper])S;	0	0	0	
OG18976	(SPI06g03433.1[&&NHX:species=S. pimp],PGSC0003DMP400033079[&&NHX:species=Potato],Sopen06g017530.1[&&NHX:species=S. Pennelli],SLYcer06g03519.1[&&NHX:species=Tomato Cherry],Capang06g001974[&&NHX:species=Wild pepper],Capana06g002152[&&NHX:species=Dom. pepper],Solyc06g051550.4.1[&&NHX:species=Tomato])S;	0	0	0	
OG18982	(Sopen02g024580.1[&&NHX:species=S. Pennelli],Capana02g002096[&&NHX:species=Dom. pepper],SPI02g03271.1[&&NHX:species=S. pimp],SLYcer02g04371.1[&&NHX:species=Tomato Cherry],Capang02g001895[&&NHX:species=Wild pepper],Solyc02g079810.3.1[&&NHX:species=Tomato],PGSC0003DMP400037647[&&NHX:species=Potato])S;	0	0	0	
OG18993	(Capang05g001962[&&NHX:species=Wild pepper],SLYcer10g02158.1[&&NHX:species=Tomato Cherry],Capana05g002412[&&NHX:species=Dom. pepper],SPI05g04826.1[&&NHX:species=S. pimp],Solyc05g054890.4.1[&&NHX:species=Tomato],Sopen05g033350.1[&&NHX:species=S. Pennelli],PGSC0003DMP400040689[&&NHX:species=Potato])S;	0	0	0	
OG19052	(PGSC0003DMP400038295[&&NHX:species=Potato],Solyc07g066060.3.1[&&NHX:species=Tomato],SPI07g06361.1[&&NHX:species=S. pimp],Capang07g002431[&&NHX:species=Wild pepper],Capana07g002435[&&NHX:species=Dom. pepper],SLYcer07g05643.1[&&NHX:species=Tomato Cherry],Sopen07g034240.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG19060	(Solyc02g091440.2.1[&&NHX:species=Tomato],Sopen02g036060.1[&&NHX:species=S. Pennelli],PGSC0003DMP400053393[&&NHX:species=Potato],Capang02g002596[&&NHX:species=Wild pepper],SPI02g04462.1[&&NHX:species=S. pimp],SLYcer02g05542.1[&&NHX:species=Tomato Cherry],Capana02g002873[&&NHX:species=Dom. pepper])S;	0	0	0	
OG19086	(Capang04g001531[&&NHX:species=Wild pepper],SPI11g01149.1[&&NHX:species=S. pimp],PGSC0003DMP400016287[&&NHX:species=Potato],Capana04g001619[&&NHX:species=Dom. pepper],Sopen11g009060.1[&&NHX:species=S. Pennelli],SLYcer11g01021.1[&&NHX:species=Tomato Cherry],Solyc11g017070.2.1[&&NHX:species=Tomato])S;	0	0	0	
OG19109	(Capang05g001661[&&NHX:species=Wild pepper],SLYcer11g00167.1[&&NHX:species=Tomato Cherry],Sopen11g001740.1[&&NHX:species=S. Pennelli],Solyc11g005780.3.1[&&NHX:species=Tomato],SPI11g00327.1[&&NHX:species=S. pimp],PGSC0003DMP400049927[&&NHX:species=Potato],Capana12g002036[&&NHX:species=Dom. pepper])S;	0	0	0	
OG19180	(SPI04g03483.1[&&NHX:species=S. pimp],Capana12g001551[&&NHX:species=Dom. pepper],PGSC0003DMP400028983[&&NHX:species=Potato],Sopen04g023150.1[&&NHX:species=S. Pennelli],SLYcer04g03767.1[&&NHX:species=Tomato Cherry],Capang12g001290[&&NHX:species=Wild pepper],Solyc04g051800.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG19181	(Sopen05g034860.1[&&NHX:species=S. Pennelli],SLYcer10g01992.1[&&NHX:species=Tomato Cherry],SPI05g04985.1[&&NHX:species=S. pimp],Solyc05g056470.1.1[&&NHX:species=Tomato],PGSC0003DMP400040315[&&NHX:species=Potato],Capana12g002916[&&NHX:species=Dom. pepper],Capang12g002560[&&NHX:species=Wild pepper])S;	0	0	0	
OG19333	(Capang12g002326[&&NHX:species=Wild pepper],Capana12g002686[&&NHX:species=Dom. pepper],Solyc11g010340.2.1[&&NHX:species=Tomato],SPI11g00699.1[&&NHX:species=S. pimp],SLYcer11g00558.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400028197[&&NHX:species=Potato],Sopen11g005120.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG19813	(SLYcer08g06513.1[&&NHX:species=Tomato Cherry],SPI08g06418.1[&&NHX:species=S. pimp],Capana01g000066[&&NHX:species=Dom. pepper],Capang01g000059[&&NHX:species=Wild pepper],(Sopen08g031160.2[&&NHX:species=S. Pennelli],Sopen08g031160.1[&&NHX:species=S. Pennelli])D,PGSC0003DMP400021673[&&NHX:species=Potato],Solyc08g082940.2.1[&&NHX:species=Tomato])S;	0	0	0	
OG19855	((Sopen03g037480.1[&&NHX:species=S. Pennelli],Capana03g000749[&&NHX:species=Dom. pepper],Capang03g000677[&&NHX:species=Wild pepper],Solyc03g118540.4.1[&&NHX:species=Tomato])S,(SPI03g05108.1[&&NHX:species=S. pimp],SLYcer03g05048.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400024951[&&NHX:species=Potato],Sopen03g037480.2[&&NHX:species=S. Pennelli])S)D;	0	0	0	
OG19874	((PGSC0003DMP400033642[&&NHX:species=Potato],Solyc09g065290.4.1[&&NHX:species=Tomato],Capang09g001032[&&NHX:species=Wild pepper],Sopen09g027040.1[&&NHX:species=S. Pennelli],SLYcer09g03710.1[&&NHX:species=Tomato Cherry],SPI09g03631.1[&&NHX:species=S. pimp],Capana09g001461[&&NHX:species=Dom. pepper])S,SPI09g03623.1[&&NHX:species=S. pimp])D;	0	0	0	
OG20062	(PGSC0003DMP400005280[&&NHX:species=Potato],(Capang09g000139[&&NHX:species=Wild pepper],Capana09g000144[&&NHX:species=Dom. pepper],Solyc12g009220.2.1[&&NHX:species=Tomato],SLYcer12g00480.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400005281[&&NHX:species=Potato],SPI12g00508.1[&&NHX:species=S. pimp],Sopen12g004170.1[&&NHX:species=S. Pennelli])S)D;	0	0	0	
OG20120	(PGSC0003DMP400014005[&&NHX:species=Potato],(Sopen04g032380.1[&&NHX:species=S. Pennelli],SLYcer04g05488.1[&&NHX:species=Tomato Cherry],SPI04g04983.1[&&NHX:species=S. pimp],PGSC0003DMP400014006[&&NHX:species=Potato],Capang04g000510[&&NHX:species=Wild pepper],Solyc04g078780.3.1[&&NHX:species=Tomato],Capana04g000562[&&NHX:species=Dom. pepper])S)D;	0	0	0	
OG20212	((SLYcer07g05446.1[&&NHX:species=Tomato Cherry],SPI07g06158.1[&&NHX:species=S. pimp],(Capana00g004209[&&NHX:species=Dom. pepper],Capana00g004144[&&NHX:species=Dom. pepper])D,Sopen07g032230.1[&&NHX:species=S. Pennelli],Solyc07g064090.3.1[&&NHX:species=Tomato],PGSC0003DMP400033402[&&NHX:species=Potato])S,PGSC0003DMP400033401[&&NHX:species=Potato])D;	0	0	0	
OG20250	((PGSC0003DMP400013916[&&NHX:species=Potato],PGSC0003DMP400013915[&&NHX:species=Potato])D,SLYcer12g00602.1[&&NHX:species=Tomato Cherry],Capana09g000067[&&NHX:species=Dom. pepper],SPI12g00629.1[&&NHX:species=S. pimp],Capang09g000062[&&NHX:species=Wild pepper],Sopen12g005110.1[&&NHX:species=S. Pennelli],Solyc12g010220.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG20494	(Sopen04g004480.1[&&NHX:species=S. Pennelli],PGSC0003DMP400055581[&&NHX:species=Potato],SPI04g00537.1[&&NHX:species=S. pimp],((Capang00g004451[&&NHX:species=Wild pepper],Capana00g004291[&&NHX:species=Dom. pepper])S,Capang00g003326[&&NHX:species=Wild pepper])D,Solyc04g009360.3.1[&&NHX:species=Tomato],SLYcer04g00561.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG20579	((PGSC0003DMP400031849[&&NHX:species=Potato],PGSC0003DMP400031850[&&NHX:species=Potato])D,Sopen01g044750.1[&&NHX:species=S. Pennelli],SLYcer01g07422.1[&&NHX:species=Tomato Cherry],Capang01g004267[&&NHX:species=Wild pepper],SPI01g07850.1[&&NHX:species=S. pimp],Capana08g001686[&&NHX:species=Dom. pepper],Solyc01g102300.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG20623	((SLYcer02g04198.1[&&NHX:species=Tomato Cherry],Sopen02g022850.1[&&NHX:species=S. Pennelli],PGSC0003DMP400051739[&&NHX:species=Potato],SPI02g03096.1[&&NHX:species=S. pimp],Capana02g001932[&&NHX:species=Dom. pepper],Solyc02g078010.4.1[&&NHX:species=Tomato],Capang02g001709[&&NHX:species=Wild pepper])S,PGSC0003DMP400051738[&&NHX:species=Potato])D;	0	0	0	
OG20634	((Capang04g000541[&&NHX:species=Wild pepper],SLYcer04g05461.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400013974[&&NHX:species=Potato],Capana00g001507[&&NHX:species=Dom. pepper],Solyc04g078520.3.1[&&NHX:species=Tomato],SPI04g04958.1[&&NHX:species=S. pimp],Sopen04g032120.1[&&NHX:species=S. Pennelli])S,PGSC0003DMP400013973[&&NHX:species=Potato])D;	0	0	0	
OG20671	((SPI02g03194.1[&&NHX:species=S. pimp],Solyc02g078970.4.1[&&NHX:species=Tomato],PGSC0003DMP400038758[&&NHX:species=Potato],Capang02g001802[&&NHX:species=Wild pepper],Capana02g002020[&&NHX:species=Dom. pepper],SLYcer02g04292.1[&&NHX:species=Tomato Cherry],Sopen02g023780.1[&&NHX:species=S. Pennelli])S,PGSC0003DMP400053128[&&NHX:species=Potato])D;	0	0	0	
OG20765	(Capana01g000256[&&NHX:species=Dom. pepper],Solyc08g081140.4.1[&&NHX:species=Tomato],Capang01g000239[&&NHX:species=Wild pepper],SPI08g06236.1[&&NHX:species=S. pimp],(PGSC0003DMP400021842[&&NHX:species=Potato],PGSC0003DMP400021841[&&NHX:species=Potato])D,Sopen08g029440.1[&&NHX:species=S. Pennelli],SLYcer08g06327.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG20796	(Capana07g001126[&&NHX:species=Dom. pepper],Solyc07g043580.4.1[&&NHX:species=Tomato],(PGSC0003DMP400027896[&&NHX:species=Potato],PGSC0003DMP400027897[&&NHX:species=Potato])D,SPI07g04600.1[&&NHX:species=S. pimp],Capang07g001171[&&NHX:species=Wild pepper],SLYcer07g03886.1[&&NHX:species=Tomato Cherry],Sopen07g023150.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG20843	((Solyc03g115540.2.1[&&NHX:species=Tomato],Capang03g000788[&&NHX:species=Wild pepper],Capana03g000857[&&NHX:species=Dom. pepper],SPI03g04801.1[&&NHX:species=S. pimp],Sopen03g034530.1[&&NHX:species=S. Pennelli],SLYcer03g04744.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400042485[&&NHX:species=Potato])S,PGSC0003DMP400042484[&&NHX:species=Potato])D;	0	0	0	
OG20904	((Solyc01g110030.3.1[&&NHX:species=Tomato],SLYcer01g08397.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400053928[&&NHX:species=Potato])S,(PGSC0003DMP400053926[&&NHX:species=Potato],Capana08g002582[&&NHX:species=Dom. pepper],Sopen01g052220.1[&&NHX:species=S. Pennelli],Capang01g005114[&&NHX:species=Wild pepper],SPI01g08623.1[&&NHX:species=S. pimp])S)D;	0	0	0	
OG20959	((SPI02g04491.1[&&NHX:species=S. pimp],SLYcer02g05571.1[&&NHX:species=Tomato Cherry],Capang02g002631[&&NHX:species=Wild pepper],Solyc02g091790.3.1[&&NHX:species=Tomato],Capana02g002908[&&NHX:species=Dom. pepper],PGSC0003DMP400053328[&&NHX:species=Potato],Sopen02g036370.1[&&NHX:species=S. Pennelli])S,PGSC0003DMP400053327[&&NHX:species=Potato])D;	0	0	0	
OG20981	(SPI02g03993.1[&&NHX:species=S. pimp],(PGSC0003DMP400022374[&&NHX:species=Potato],PGSC0003DMP400022373[&&NHX:species=Potato])D,Capang02g003267[&&NHX:species=Wild pepper],Sopen02g031190.1[&&NHX:species=S. Pennelli],Capana02g003545[&&NHX:species=Dom. pepper],Solyc02g086470.3.1[&&NHX:species=Tomato],SLYcer02g05055.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG20988	((SLYcer09g04913.1[&&NHX:species=Tomato Cherry],Capang03g004326[&&NHX:species=Wild pepper],Capana03g004496[&&NHX:species=Dom. pepper],PGSC0003DMP400029998[&&NHX:species=Potato],SPI09g04572.1[&&NHX:species=S. pimp],Sopen09g032810.1[&&NHX:species=S. Pennelli],Solyc09g089870.3.1[&&NHX:species=Tomato])S,PGSC0003DMP400040825[&&NHX:species=Potato])D;	0	0	0	
OG21025	(Capang12g000855[&&NHX:species=Wild pepper],((SPI12g04261.1[&&NHX:species=S. pimp],Sopen12g023880.1[&&NHX:species=S. Pennelli],SLYcer12g04322.1[&&NHX:species=Tomato Cherry],Solyc12g049400.2.1[&&NHX:species=Tomato],PGSC0003DMP400007763[&&NHX:species=Potato])S,PGSC0003DMP400007762[&&NHX:species=Potato])D,Capana12g000990[&&NHX:species=Dom. pepper])S;	0	0	0	
OG21029	((Capang10g002171[&&NHX:species=Wild pepper],SPI03g02390.1[&&NHX:species=S. pimp],Sopen03g013260.1[&&NHX:species=S. Pennelli],Solyc03g059100.3.1[&&NHX:species=Tomato],Capana10g002417[&&NHX:species=Dom. pepper],PGSC0003DMP400045702[&&NHX:species=Potato],SLYcer03g02262.1[&&NHX:species=Tomato Cherry])S,Capang03g002987[&&NHX:species=Wild pepper])D;	0	0	0	
OG21043	((SLYcer03g05244.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400004578[&&NHX:species=Potato],Sopen03g039140.1[&&NHX:species=S. Pennelli],Solyc03g120260.4.1[&&NHX:species=Tomato],Capang00g002836[&&NHX:species=Wild pepper],SPI03g05294.1[&&NHX:species=S. pimp],Capana00g000573[&&NHX:species=Dom. pepper])S,Capana12g001272[&&NHX:species=Dom. pepper])D;	0	0	0	
OG21069	((Sopen11g027990.1[&&NHX:species=S. Pennelli],Capana11g000098[&&NHX:species=Dom. pepper],Solyc11g069260.2.1[&&NHX:species=Tomato],SPI11g03980.1[&&NHX:species=S. pimp],SLYcer11g03918.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400014188[&&NHX:species=Potato],Capang11g000092[&&NHX:species=Wild pepper])S,PGSC0003DMP400014189[&&NHX:species=Potato])D;	0	0	0	
OG21074	(PGSC0003DMP400038141[&&NHX:species=Potato],(PGSC0003DMP400038140[&&NHX:species=Potato],Capana11g000952[&&NHX:species=Dom. pepper],Solyc11g056650.2.1[&&NHX:species=Tomato],SLYcer11g03337.1[&&NHX:species=Tomato Cherry],SPI11g03403.1[&&NHX:species=S. pimp],Sopen11g023410.1[&&NHX:species=S. Pennelli],Capang07g000312[&&NHX:species=Wild pepper])S)D;	0	0	0	
OG21076	(((PGSC0003DMP400041252[&&NHX:species=Potato],SLYcer12g05216.1[&&NHX:species=Tomato Cherry],Sopen12g034770.1[&&NHX:species=S. Pennelli],Solyc12g100140.3.1[&&NHX:species=Tomato],SPI12g05166.1[&&NHX:species=S. pimp])S,PGSC0003DMP400041251[&&NHX:species=Potato])D,Capana12g000049[&&NHX:species=Dom. pepper],Capang12g000051[&&NHX:species=Wild pepper])S;	0	0	0	
OG21099	((PGSC0003DMP400020494[&&NHX:species=Potato],SLYcer12g04658.1[&&NHX:species=Tomato Cherry],Capang12g000657[&&NHX:species=Wild pepper],Capana12g000776[&&NHX:species=Dom. pepper])S,(Sopen12g030330.1[&&NHX:species=S. Pennelli],PGSC0003DMP400020492[&&NHX:species=Potato],SPI12g04615.1[&&NHX:species=S. pimp],Solyc12g088340.2.1[&&NHX:species=Tomato])S)D;	0	0	0	
