Gen_a	Gen_b	Species_a	Species_b	og	normalized_bit_score	Hormone
Solyc04g078920	Sopen04g032520	tomato	TomatoPennelli	21151	1	Jasmonic Acid
Solyc04g078920	PGSC0003DMP400014027\tPGSC0003DMT400020590	tomato	Potato	21151	1	Jasmonic Acid
Solyc11g068550	PGSC0003DMP400045713\tPGSC0003DMT400067714	tomato	Potato	21194	1	Jasmonic Acid
Solyc11g068550	Sopen11g027270	tomato	TomatoPennelli	21194	1	Jasmonic Acid
Solyc11g068550	SLYcer11g03822	tomato	TomatoCerasiforme	21194	1	Jasmonic Acid
Solyc11g068550	SPI11g03884	tomato	Tomatopimp	21194	1	Jasmonic Acid
Solyc11g068550	Capana11g000320	tomato	CaZL1.pep	21194	1	Jasmonic Acid
Solyc08g080410	Capana01g000317	tomato	CaZL1.pep	21689	1	Jasmonic Acid
Solyc04g010090	Capang05g000350	tomato	CaChiltepin.pep	21694	1	Jasmonic Acid
Solyc04g010090	SLYcer04g00637	tomato	TomatoCerasiforme	21694	1	Jasmonic Acid
Solyc04g010090	Capana05g000434	tomato	CaZL1.pep	21694	1	Jasmonic Acid
Solyc04g010090	PGSC0003DMP400020338\tPGSC0003DMT400029922	tomato	Potato	21694	1	Jasmonic Acid
Solyc04g010090	PGSC0003DMP400020337\tPGSC0003DMT400029921	tomato	Potato	21694	1	Jasmonic Acid
Solyc04g010090	PGSC0003DMP400020339\tPGSC0003DMT400029923	tomato	Potato	21694	1	Jasmonic Acid
Solyc10g081650	SPI10g04062	tomato	Tomatopimp	21747	2	Jasmonic Acid
Solyc10g081650	PGSC0003DMP400049062\tPGSC0003DMT400072543	tomato	Potato	21747	1	Jasmonic Acid
Solyc10g081650	Capana00g004805	tomato	CaZL1.pep	21747	1	Jasmonic Acid
Solyc10g074790	Sopen10g027280	tomato	TomatoPennelli	21861	1	Jasmonic Acid
Solyc10g074790	Capang10g000883	tomato	CaChiltepin.pep	21861	1	Jasmonic Acid
Solyc10g074790	SLYcer10g04980	tomato	TomatoCerasiforme	21861	1	Jasmonic Acid
Solyc10g074790	Capana10g001059	tomato	CaZL1.pep	21861	1	Jasmonic Acid
Solyc10g074790	PGSC0003DMP400048171\tPGSC0003DMT400071229	tomato	Potato	21861	1	Jasmonic Acid
Solyc05g015390	SPI05g01716	tomato	Tomatopimp	22153	1	Jasmonic Acid
Solyc05g015390	SLYcer05g01259	tomato	TomatoCerasiforme	22153	1	Jasmonic Acid
Solyc05g015390	PGSC0003DMP400050689\tPGSC0003DMT400074842	tomato	Potato	22153	1	Jasmonic Acid
Solyc05g015390	Capang12g001083	tomato	CaChiltepin.pep	22153	1	Jasmonic Acid
Solyc01g108910	SLYcer01g08283	tomato	TomatoCerasiforme	22167	1	Jasmonic Acid
Solyc05g053040	PGSC0003DMP400047160\tPGSC0003DMT400069797	tomato	Potato	22370	1	Jasmonic Acid
Solyc06g031690	Capang06g002159	tomato	CaChiltepin.pep	22412	1	Jasmonic Acid
Solyc06g031690	Capana06g002321	tomato	CaZL1.pep	22412	1	Jasmonic Acid
Solyc12g098710	Sopen12g033460	tomato	TomatoPennelli	22483	1	Jasmonic Acid
Solyc08g065350	PGSC0003DMP400052177\tPGSC0003DMT400076991	tomato	Potato	22623	1	Jasmonic Acid
Solyc08g065350	Sopen08g018910	tomato	TomatoPennelli	22623	1	Jasmonic Acid
Solyc06g084390	Capana06g000056	tomato	CaZL1.pep	23147	1	Jasmonic Acid
Solyc06g084390	PGSC0003DMP400034751\tPGSC0003DMT400051608	tomato	Potato	23147	1	Jasmonic Acid
Solyc06g084390	Capang06g000040	tomato	CaChiltepin.pep	23147	1	Jasmonic Acid
Solyc06g084390	SLYcer06g05504	tomato	TomatoCerasiforme	23147	2	Jasmonic Acid
Solyc06g084390	Sopen06g035780	tomato	TomatoPennelli	23147	2	Jasmonic Acid
Solyc03g117250	Capang03g000470	tomato	CaChiltepin.pep	23180	1	Jasmonic Acid
Solyc08g077530	SLYcer08g05974	tomato	TomatoCerasiforme	23285	1	Jasmonic Acid
Solyc08g077530	Capana01g000793	tomato	CaZL1.pep	23285	1	Jasmonic Acid
Solyc08g077530	Capang01g000716	tomato	CaChiltepin.pep	23285	1	Jasmonic Acid
Solyc08g077530	SPI08g05863	tomato	Tomatopimp	23285	1	Jasmonic Acid
Solyc01g108280	Capana08g002441	tomato	CaZL1.pep	23440	1	Jasmonic Acid
Solyc10g008870	SPI10g00499	tomato	Tomatopimp	23676	2	Jasmonic Acid
Solyc10g008870	Sopen10g004660	tomato	TomatoPennelli	23676	2	Jasmonic Acid
Solyc03g097970	Sopen06g028810	tomato	TomatoPennelli	23718	*	Jasmonic Acid
Solyc03g097970	SPI06g04660	tomato	Tomatopimp	23718	*	Jasmonic Acid
Solyc03g097970	SLYcer03g04120	tomato	TomatoCerasiforme	23718	1	Jasmonic Acid
Solyc03g097970	Sopen03g028680	tomato	TomatoPennelli	23718	1	Jasmonic Acid
Solyc03g097970	SPI03g04183	tomato	Tomatopimp	23718	1	Jasmonic Acid
Solyc03g097970	Capana03g001599	tomato	CaZL1.pep	23718	1	Jasmonic Acid
Solyc03g097970	Capang03g001547	tomato	CaChiltepin.pep	23718	1	Jasmonic Acid
Solyc03g097970	PGSC0003DMP400056204\tPGSC0003DMT400083982	tomato	Potato	23718	1	Jasmonic Acid
Solyc01g105710	PGSC0003DMP400056071\tPGSC0003DMT400083778	tomato	Potato	23729	2	Jasmonic Acid
Solyc04g055200	Capana12g001691	tomato	CaZL1.pep	24278	2	Jasmonic Acid
Solyc04g055200	Sopen04g025060	tomato	TomatoPennelli	24278	2	Jasmonic Acid
Solyc04g055200	SPI04g03778	tomato	Tomatopimp	24278	1	Jasmonic Acid
Solyc04g055200	Capang11g000547	tomato	CaChiltepin.pep	24278	1	Jasmonic Acid
Solyc08g076930	PGSC0003DMP400030626\tPGSC0003DMT400045204	tomato	Potato	24615	1	Jasmonic Acid
Solyc08g076930	Sopen08g025500	tomato	TomatoPennelli	24615	1	Jasmonic Acid
Solyc08g076930	SLYcer08g05909	tomato	TomatoCerasiforme	24615	1	Jasmonic Acid
Solyc08g076930	SPI08g05799	tomato	Tomatopimp	24615	1	Jasmonic Acid
Solyc08g076930	Capana01g001098	tomato	CaZL1.pep	24615	1	Jasmonic Acid
Solyc08g076930	Capang01g000946	tomato	CaChiltepin.pep	24615	1	Jasmonic Acid
Solyc03g097750	Sopen03g028510	tomato	TomatoPennelli	24721	1	Jasmonic Acid
Solyc03g097750	Capang03g001568	tomato	CaChiltepin.pep	24721	1	Jasmonic Acid
Solyc12g088900	Capana12g000703	tomato	CaZL1.pep	24974	1	Jasmonic Acid
Solyc12g088900	Sopen12g030800	tomato	TomatoPennelli	24974	1	Jasmonic Acid
Solyc12g088900	Capang12g000589	tomato	CaChiltepin.pep	24974	1	Jasmonic Acid
Solyc11g073200	SLYcer11g04225	tomato	TomatoCerasiforme	25057	2	Jasmonic Acid
Solyc11g073200	Sopen11g030830	tomato	TomatoPennelli	25057	1	Jasmonic Acid
Solyc11g073200	PGSC0003DMP400027278\tPGSC0003DMT400040214	tomato	Potato	25057	1	Jasmonic Acid
Solyc11g073200	Capang00g000890	tomato	CaChiltepin.pep	25057	1	Jasmonic Acid
Solyc11g007940	PGSC0003DMP400047530\tPGSC0003DMT400070306	tomato	Potato	25256	1	Jasmonic Acid
Solyc11g007940	PGSC0003DMP400047529\tPGSC0003DMT400070305	tomato	Potato	25256	1	Jasmonic Acid
Solyc11g007940	Capana12g002410	tomato	CaZL1.pep	25256	1	Jasmonic Acid
Solyc11g007940	SLYcer11g00402	tomato	TomatoCerasiforme	25256	1	Jasmonic Acid
Solyc11g007940	Sopen11g003810	tomato	TomatoPennelli	25256	1	Jasmonic Acid
Solyc04g009230	SPI04g00526	tomato	Tomatopimp	25471	2	Jasmonic Acid
Solyc04g009230	Sopen02g004390	tomato	TomatoPennelli	25471	2	Jasmonic Acid
Solyc04g009230	SLYcer02g01583	tomato	TomatoCerasiforme	25471	2	Jasmonic Acid
Solyc04g009230	Capana02g000307	tomato	CaZL1.pep	25471	2	Jasmonic Acid
Solyc04g009230	PGSC0003DMP400011903\tPGSC0003DMT400017277	tomato	Potato	25471	2	Jasmonic Acid
Solyc10g049850	Sopen10g019880	tomato	TomatoPennelli	25592	1	Jasmonic Acid
Solyc10g049850	SPI10g02425	tomato	Tomatopimp	25592	1	Jasmonic Acid
Solyc02g069090	SLYcer02g03713	tomato	TomatoCerasiforme	25632	1	Jasmonic Acid
Solyc02g069090	SPI02g02606	tomato	Tomatopimp	25632	1	Jasmonic Acid
Solyc02g069090	Capana02g001274	tomato	CaZL1.pep	25632	1	Jasmonic Acid
Solyc02g069090	Sopen02g018190	tomato	TomatoPennelli	25632	1	Jasmonic Acid
Solyc02g069090	Capang02g001100	tomato	CaChiltepin.pep	25632	1	Jasmonic Acid
Solyc02g069090	PGSC0003DMP400018308\tPGSC0003DMT400026852	tomato	Potato	25632	1	Jasmonic Acid
Solyc02g069090	PGSC0003DMP400018307\tPGSC0003DMT400026850	tomato	Potato	25632	1	Jasmonic Acid
Solyc04g024340	SLYcer04g02794	tomato	TomatoCerasiforme	25728	1	Jasmonic Acid
Solyc04g024340	PGSC0003DMP400004332\tPGSC0003DMT400006269	tomato	Potato	25728	1	Jasmonic Acid
Solyc06g074220	Capang06g000567	tomato	CaChiltepin.pep	25835	1	Jasmonic Acid
Solyc06g074220	PGSC0003DMP400010431\tPGSC0003DMT400015070	tomato	Potato	25835	1	Jasmonic Acid
Solyc06g074220	SLYcer06g04975	tomato	TomatoCerasiforme	25835	1	Jasmonic Acid
Solyc06g074940	PGSC0003DMP400012654\tPGSC0003DMT400018395	tomato	Potato	25844	1	Jasmonic Acid
Solyc06g074940	Capang00g003866	tomato	CaChiltepin.pep	25844	1	Jasmonic Acid
Solyc06g074940	PGSC0003DMP400012656\tPGSC0003DMT400018397	tomato	Potato	25844	1	Jasmonic Acid
Solyc06g074940	SLYcer06g05058	tomato	TomatoCerasiforme	25844	1	Jasmonic Acid
Solyc02g062040	PGSC0003DMP400041285\tPGSC0003DMT400061368	tomato	Potato	26067	1	Jasmonic Acid
Solyc02g062040	SPI02g01957	tomato	Tomatopimp	26067	1	Jasmonic Acid
Solyc02g062040	Capana02g000544	tomato	CaZL1.pep	26067	1	Jasmonic Acid
Solyc02g062040	Sopen02g013000	tomato	TomatoPennelli	26067	1	Jasmonic Acid
Solyc06g084130	Capang06g000087	tomato	CaChiltepin.pep	26079	1	Jasmonic Acid
Solyc01g097510	SPI01g07467	tomato	Tomatopimp	26140	1	Jasmonic Acid
Solyc01g097510	PGSC0003DMP400033754\tPGSC0003DMT400049998	tomato	Potato	26140	1	Jasmonic Acid
Solyc01g097510	SLYcer01g07807	tomato	TomatoCerasiforme	26140	1	Jasmonic Acid
Solyc01g097510	Capana08g001268	tomato	CaZL1.pep	26140	1	Jasmonic Acid
Solyc01g097510	Capana08g001265	tomato	CaZL1.pep	26140	1	Jasmonic Acid
Solyc01g097510	Capang01g003847	tomato	CaChiltepin.pep	26140	1	Jasmonic Acid
Solyc01g097510	Capang01g003850	tomato	CaChiltepin.pep	26140	1	Jasmonic Acid
Solyc11g011380	PGSC0003DMP400023400\tPGSC0003DMT400034421	tomato	Potato	26314	2	Jasmonic Acid
Solyc11g011380	SLYcer11g00661	tomato	TomatoCerasiforme	26314	2	Jasmonic Acid
Solyc10g007600	SLYcer10g00500	tomato	TomatoCerasiforme	26362	1	Jasmonic Acid
Solyc10g007600	PGSC0003DMP400036812\tPGSC0003DMT400054731	tomato	Potato	26362	1	Jasmonic Acid
Solyc10g007600	PGSC0003DMP400036811\tPGSC0003DMT400054730	tomato	Potato	26362	1	Jasmonic Acid
Solyc10g007600	Capang10g000131	tomato	CaChiltepin.pep	26362	1	Jasmonic Acid
Solyc10g007600	Sopen10g003520	tomato	TomatoPennelli	26362	1	Jasmonic Acid
Solyc10g007600	Capana10g000134	tomato	CaZL1.pep	26362	1	Jasmonic Acid
Solyc01g098390	SLYcer01g07717	tomato	TomatoCerasiforme	26400	2	Jasmonic Acid
Solyc01g098390	Capana08g001379	tomato	CaZL1.pep	26400	1	Jasmonic Acid
Solyc01g098390	Sopen01g041960	tomato	TomatoPennelli	26400	2	Jasmonic Acid
Solyc01g098390	SPI01g07553	tomato	Tomatopimp	26400	2	Jasmonic Acid
Solyc04g050920	SLYcer04g03562	tomato	TomatoCerasiforme	26451	1	Jasmonic Acid
Solyc03g112700	SLYcer03g04451	tomato	TomatoCerasiforme	26515	1	Jasmonic Acid
Solyc03g112700	Capana03g001154	tomato	CaZL1.pep	26515	1	Jasmonic Acid
Solyc03g112700	Capang03g001109	tomato	CaChiltepin.pep	26515	1	Jasmonic Acid
Solyc03g112700	PGSC0003DMP400031540\tPGSC0003DMT400046621	tomato	Potato	26515	1	Jasmonic Acid
Solyc03g112700	Sopen03g031780	tomato	TomatoPennelli	26515	1	Jasmonic Acid
Solyc03g112700	SPI03g04501	tomato	Tomatopimp	26515	1	Jasmonic Acid
Solyc08g075450	Sopen08g024080	tomato	TomatoPennelli	26585	1	Jasmonic Acid
Solyc08g078250	PGSC0003DMP400045537\tPGSC0003DMT400067481	tomato	Potato	26612	1	Jasmonic Acid
Solyc09g047930	Capang09g000717	tomato	CaChiltepin.pep	26627	1	Jasmonic Acid
Solyc09g074320	Capang03g003437	tomato	CaChiltepin.pep	26647	1	Jasmonic Acid
Solyc09g074320	SPI09g04058	tomato	Tomatopimp	26647	1	Jasmonic Acid
Solyc09g074320	SLYcer09g04263	tomato	TomatoCerasiforme	26647	1	Jasmonic Acid
Solyc09g074320	Capana03g003528	tomato	CaZL1.pep	26647	1	Jasmonic Acid
Solyc06g009750	Sopen06g004370	tomato	TomatoPennelli	26695	1	Jasmonic Acid
Solyc06g009750	SPI06g00544	tomato	Tomatopimp	26695	1	Jasmonic Acid
Solyc06g009750	PGSC0003DMP400012911\tPGSC0003DMT400018802	tomato	Potato	26695	1	Jasmonic Acid
Solyc06g009750	SLYcer06g00706	tomato	TomatoCerasiforme	26695	1	Jasmonic Acid
Solyc06g009750	Capana00g003274	tomato	CaZL1.pep	26695	1	Jasmonic Acid
Solyc06g009750	Capang12g001571	tomato	CaChiltepin.pep	26695	1	Jasmonic Acid
Solyc11g011910	Capana12g002825	tomato	CaZL1.pep	26730	1	Jasmonic Acid
Solyc11g011910	PGSC0003DMP400023593\tPGSC0003DMT400034692	tomato	Potato	26730	1	Jasmonic Acid
Solyc11g011910	SLYcer11g00713	tomato	TomatoCerasiforme	26730	1	Jasmonic Acid
Solyc01g104220	SPI01g08035	tomato	Tomatopimp	26774	1	Jasmonic Acid
Solyc01g104220	Capana08g001924	tomato	CaZL1.pep	26774	1	Jasmonic Acid
Solyc07g054490	Capana07g001670	tomato	CaZL1.pep	27055	1	Jasmonic Acid
Solyc07g054490	PGSC0003DMP400032006\tPGSC0003DMT400047292	tomato	Potato	27055	1	Jasmonic Acid
Solyc07g054490	SLYcer07g04974	tomato	TomatoCerasiforme	27055	1	Jasmonic Acid
Solyc07g054490	Sopen07g028430	tomato	TomatoPennelli	27055	1	Jasmonic Acid
Solyc07g054490	SPI07g05702	tomato	Tomatopimp	27055	1	Jasmonic Acid
Solyc07g054490	Capang07g001664	tomato	CaChiltepin.pep	27055	1	Jasmonic Acid
Solyc01g108270	PGSC0003DMP400044721\tPGSC0003DMT400066347	tomato	Potato	27063	1	Jasmonic Acid
Solyc01g108270	Capang01g004929	tomato	CaChiltepin.pep	27063	1	Jasmonic Acid
Solyc01g108270	SPI01g08444	tomato	Tomatopimp	27063	1	Jasmonic Acid
Solyc01g108270	Capana08g002386	tomato	CaZL1.pep	27063	1	Jasmonic Acid
Solyc03g111010	Capang11g000919	tomato	CaChiltepin.pep	27072	1	Jasmonic Acid
Solyc03g111010	SPI03g04333	tomato	Tomatopimp	27072	1	Jasmonic Acid
Solyc03g111010	Sopen03g030190	tomato	TomatoPennelli	27072	1	Jasmonic Acid
Solyc03g111010	Capang03g001318	tomato	CaChiltepin.pep	27072	1	Jasmonic Acid
Solyc03g111010	SLYcer03g04274	tomato	TomatoCerasiforme	27072	1	Jasmonic Acid
Solyc03g111010	Capana00g001096	tomato	CaZL1.pep	27072	1	Jasmonic Acid
Solyc03g111010	SPI05g01185	tomato	Tomatopimp	27072	*	Jasmonic Acid
Solyc03g111010	Capana03g001381	tomato	CaZL1.pep	27072	1	Jasmonic Acid
Solyc12g014400	Capana03g001401	tomato	CaZL1.pep	27341	*	Jasmonic Acid
Solyc12g014400	Sopen12g007250	tomato	TomatoPennelli	27341	1	Jasmonic Acid
Solyc12g014400	SPI12g00921	tomato	Tomatopimp	27341	1	Jasmonic Acid
Solyc12g014400	SLYcer12g00869	tomato	TomatoCerasiforme	27341	1	Jasmonic Acid
Solyc10g083360	Sopen10g032860	tomato	TomatoPennelli	27451	1	Jasmonic Acid
Solyc04g018110	SLYcer04g01694	tomato	TomatoCerasiforme	27550	1	Jasmonic Acid
Solyc04g018110	Capang05g000025	tomato	CaChiltepin.pep	27550	0	Jasmonic Acid
Solyc04g018110	PGSC0003DMP400018793\tPGSC0003DMT400027581	tomato	Potato	27550	1	Jasmonic Acid
Solyc04g018110	Capana05g000028	tomato	CaZL1.pep	27550	0	Jasmonic Acid
Solyc04g018110	SPI04g01481	tomato	Tomatopimp	27550	1	Jasmonic Acid
Solyc02g088390	Capang02g003070	tomato	CaChiltepin.pep	27598	1	Jasmonic Acid
Solyc02g088390	PGSC0003DMP400002601\tPGSC0003DMT400003642	tomato	Potato	27598	1	Jasmonic Acid
Solyc02g088390	SLYcer02g05258	tomato	TomatoCerasiforme	27598	2	Jasmonic Acid
Solyc02g088390	SPI02g04178	tomato	Tomatopimp	27598	2	Jasmonic Acid
Solyc09g092520	Capana03g004113	tomato	CaZL1.pep	27631	1	Jasmonic Acid
Solyc09g092520	Sopen09g035420	tomato	TomatoPennelli	27631	2	Jasmonic Acid
Solyc09g092520	SPI09g04882	tomato	Tomatopimp	27631	1	Jasmonic Acid
Solyc09g092520	SLYcer09g05205	tomato	TomatoCerasiforme	27631	2	Jasmonic Acid
Solyc09g092520	Capang03g003963	tomato	CaChiltepin.pep	27631	1	Jasmonic Acid
Solyc12g056220	Capana01g004456	tomato	CaZL1.pep	27634	1	Jasmonic Acid
Solyc12g056220	Capang10g002159	tomato	CaChiltepin.pep	27634	1	Jasmonic Acid
Solyc12g056220	Sopen08g003930	tomato	TomatoPennelli	27634	1	Jasmonic Acid
Solyc12g056220	SLYcer08g00527	tomato	TomatoCerasiforme	27634	1	Jasmonic Acid
Solyc12g056220	SLYcer08g06332	tomato	TomatoCerasiforme	27634	1	Jasmonic Acid
Solyc12g056220	SLYcer12g04458	tomato	TomatoCerasiforme	27634	1	Jasmonic Acid
Solyc06g008330	PGSC0003DMP400044246\tPGSC0003DMT400065573	tomato	Potato	27643	1	Jasmonic Acid
Solyc06g008330	SPI06g00305	tomato	Tomatopimp	27643	1	Jasmonic Acid
Solyc06g008330	SLYcer06g00520	tomato	TomatoCerasiforme	27643	1	Jasmonic Acid
Solyc06g008330	Capang06g002770	tomato	CaChiltepin.pep	27643	1	Jasmonic Acid
Solyc06g008330	Sopen06g003180	tomato	TomatoPennelli	27643	1	Jasmonic Acid
Solyc01g028830	PGSC0003DMP400041519\tPGSC0003DMT400061698	tomato	Potato	27717	1	Jasmonic Acid
Solyc01g028830	Sopen01g016890	tomato	TomatoPennelli	27717	1	Jasmonic Acid
Solyc05g018130	Capana01g002133	tomato	CaZL1.pep	27733	1	Jasmonic Acid
Solyc05g018130	PGSC0003DMP400047696\tPGSC0003DMT400070554	tomato	Potato	27733	1	Jasmonic Acid
Solyc05g018130	PGSC0003DMP400047697\tPGSC0003DMT400070555	tomato	Potato	27733	1	Jasmonic Acid
