en_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc04g081300	Capang04g000176	Has Ortholog	Wild pepper	ABA	FALSE
Solyc04g081300	Capana04g000195	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc04g081300	PGSC0003DMP400006740\tPGSC0003DMT400009667	Has Ortholog	Potato	ABA	FALSE
Solyc04g081300	SLYcer04g05735	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc04g081300	Sopen04g034920	Has Ortholog	S. pennellii	ABA	FALSE
Solyc04g081300	SPI04g05236	Has Ortholog	S. pimp.	ABA	FALSE
Solyc05g015530	Capang03g001271	Has Ortholog	Wild pepper	ABA	FALSE
Solyc05g015530	Capana03g001336	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc05g015530	PGSC0003DMP400056413\tPGSC0003DMT400084736	Has Ortholog	Potato	ABA	FALSE
Solyc05g015530	SLYcer05g01282	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc05g015530	Sopen12g034980	Has Ortholog	S. pennellii	ABA	FALSE
Solyc05g015530	SPI05g01741	Has Ortholog	S. pimp.	ABA	FALSE
Solyc05g055440	Capang03g002731	Has Ortholog	Wild pepper	ABA	FALSE
Solyc05g055440	Capana03g002848	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc05g055440	PGSC0003DMP400040423\tPGSC0003DMT400060096	Has Ortholog	Potato	ABA	FALSE
Solyc05g055440	SLYcer10g02087	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc05g055440	Sopen05g033890	Has Ortholog	S. pennellii	ABA	FALSE
Solyc05g055440	SPI05g04887	Has Ortholog	S. pimp.	ABA	FALSE
Solyc05g056130	NA	No Ortholog	None	ABA	FALSE
Solyc06g008620	Capang00g000669;Capang06g002821	Has Ortholog	Wild pepper	ABA	TRUE
Solyc06g008620	Capang00g000669;Capang06g002821	Has Ortholog	Wild pepper	ABA	TRUE
Solyc06g008620	Capana06g003071	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc06g008620	PGSC0003DMP400009458\tPGSC0003DMT400013664	Has Ortholog	Potato	ABA	FALSE
Solyc06g008620	SLYcer06g00553	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc06g008620	Sopen06g003390	Has Ortholog	S. pennellii	ABA	FALSE
Solyc06g008620	SPI06g00330	Has Ortholog	S. pimp.	ABA	FALSE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc06g075960	Capana01g002565;Capana05g000360;Capana06g000438;Capana06g000440;Capana06g000447;Capana06g000449;Capana06g000450;Capana06g002754;Capana06g002755;Capana06g002756;Capana06g002757;Capana06g002758;Capana06g002759;Capana11g000699	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc07g049300	Capang07g001343	Has Ortholog	Wild pepper	ABA	FALSE
Solyc07g049300	Capana07g001323	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc07g049300	PGSC0003DMP400001315\tPGSC0003DMT400001781	Has Ortholog	Potato	ABA	FALSE
Solyc07g049300	SLYcer07g04327	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc07g049300	Sopen07g024630	Has Ortholog	S. pennellii	ABA	FALSE
Solyc07g049300	SPI07g05038	Has Ortholog	S. pimp.	ABA	FALSE
Solyc07g061780	Capang07g002049	Has Ortholog	Wild pepper	ABA	FALSE
Solyc07g061780	Capana00g003128	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc07g061780	SLYcer07g05214	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc07g061780	Sopen07g030100	Has Ortholog	S. pennellii	ABA	FALSE
Solyc07g061780	SPI07g05939	Has Ortholog	S. pimp.	ABA	FALSE
Solyc08g006900	Capang02g001273;Capang02g001409;Capang08g000812	Has Ortholog	Wild pepper	ABA	TRUE
Solyc08g006900	Capang02g001273;Capang02g001409;Capang08g000812	Has Ortholog	Wild pepper	ABA	TRUE
Solyc08g006900	Capang02g001273;Capang02g001409;Capang08g000812	Has Ortholog	Wild pepper	ABA	TRUE
Solyc08g006900	Capana01g003891;Capana02g001438;Capana02g001588	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc08g006900	Capana01g003891;Capana02g001438;Capana02g001588	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc08g006900	Capana01g003891;Capana02g001438;Capana02g001588	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc08g006900	SLYcer08g00354	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc08g006900	Sopen08g002860	Has Ortholog	S. pennellii	ABA	FALSE
Solyc08g006900	SPI08g00290	Has Ortholog	S. pimp.	ABA	FALSE
Solyc08g069060	Capang01g001124	Has Ortholog	Wild pepper	ABA	FALSE
Solyc08g069060	Capana01g001280	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc08g069060	PGSC0003DMP400051441\tPGSC0003DMT400075963;PGSC0003DMP400051442\tPGSC0003DMT400075964	Has Ortholog	Potato	ABA	TRUE
Solyc08g069060	PGSC0003DMP400051441\tPGSC0003DMT400075963;PGSC0003DMP400051442\tPGSC0003DMT400075964	Has Ortholog	Potato	ABA	TRUE
Solyc08g069060	Sopen08g022710	Has Ortholog	S. pennellii	ABA	FALSE
Solyc08g080640	Capang01g000257	Has Ortholog	Wild pepper	ABA	FALSE
Solyc08g080640	Capana01g000283	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc08g080640	PGSC0003DMP400005466\tPGSC0003DMT400007869	Has Ortholog	Potato	ABA	FALSE
Solyc08g080640	Sopen08g028950	Has Ortholog	S. pennellii	ABA	FALSE
Solyc08g080640	SPI08g06189	Has Ortholog	S. pimp.	ABA	FALSE
Solyc09g075360	Capang03g003558	Has Ortholog	Wild pepper	ABA	FALSE
Solyc09g075360	Capana03g003654	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc09g075360	PGSC0003DMP400055022\tPGSC0003DMT400081314	Has Ortholog	Potato	ABA	FALSE
Solyc09g075360	SLYcer09g04383	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc09g075360	Sopen09g030130	Has Ortholog	S. pennellii	ABA	FALSE
Solyc09g075360	SPI09g04174	Has Ortholog	S. pimp.	ABA	FALSE
Solyc09g091470	Capang03g004186	Has Ortholog	Wild pepper	ABA	FALSE
Solyc09g091470	Capana03g004369	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc09g091470	PGSC0003DMP400051586\tPGSC0003DMT400076175	Has Ortholog	Potato	ABA	FALSE
Solyc09g091470	SLYcer09g05080	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc09g091470	Sopen09g034400	Has Ortholog	S. pennellii	ABA	FALSE
Solyc09g091470	SPI09g04757	Has Ortholog	S. pimp.	ABA	FALSE
Solyc10g083630	Capang10g001711	Has Ortholog	Wild pepper	ABA	FALSE
Solyc10g083630	Capana10g001947	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc10g083630	SLYcer10g05668	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc10g083630	Sopen10g033100	Has Ortholog	S. pennellii	ABA	FALSE
Solyc10g083630	SPI10g04197	Has Ortholog	S. pimp.	ABA	FALSE
Solyc11g011610	Capang11g001700	Has Ortholog	Wild pepper	ABA	FALSE
Solyc11g011610	Capana00g002515	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc11g011610	PGSC0003DMP400023559\tPGSC0003DMT400034651	Has Ortholog	Potato	ABA	FALSE
Solyc11g011610	SLYcer11g00684	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc11g011610	Sopen11g006460	Has Ortholog	S. pennellii	ABA	FALSE
Solyc11g011610	SPI11g00835	Has Ortholog	S. pimp.	ABA	FALSE
Solyc11g011620	SLYcer11g00685	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc11g011620	SPI11g00838	Has Ortholog	S. pimp.	ABA	FALSE
Solyc12g013690	Sopen12g007040	Has Ortholog	S. pennellii	ABA	FALSE
Solyc12g013690	SPI12g00829	Has Ortholog	S. pimp.	ABA	FALSE
Solyc12g040790	Capang12g001211	Has Ortholog	Wild pepper	ABA	FALSE
Solyc12g040790	Capana12g001470	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc12g040790	PGSC0003DMP400025476\tPGSC0003DMT400037473	Has Ortholog	Potato	ABA	FALSE
Solyc12g040790	SLYcer12g03853	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc12g040790	Sopen12g020550	Has Ortholog	S. pennellii	ABA	FALSE
Solyc12g040790	SPI12g03810	Has Ortholog	S. pimp.	ABA	FALSE
Solyc12g044630	Capang06g001209;Capang12g001066	Has Ortholog	Wild pepper	ABA	TRUE
Solyc12g044630	Capang06g001209;Capang12g001066	Has Ortholog	Wild pepper	ABA	TRUE
Solyc12g044630	Capana06g001250;Capana12g001255	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc12g044630	Capana06g001250;Capana12g001255	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc12g044630	PGSC0003DMP400046598\tPGSC0003DMT400069000	Has Ortholog	Potato	ABA	FALSE
Solyc12g044630	SLYcer12g04192	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc12g044630	Sopen12g023070	Has Ortholog	S. pennellii	ABA	FALSE
Solyc12g044630	SPI12g04131	Has Ortholog	S. pimp.	ABA	FALSE
Solyc12g049290	Capang00g005389;Capang12g000835;Capang12g000837	Has Ortholog	Wild pepper	ABA	TRUE
Solyc12g049290	Capang00g005389;Capang12g000835;Capang12g000837	Has Ortholog	Wild pepper	ABA	TRUE
Solyc12g049290	Capang00g005389;Capang12g000835;Capang12g000837	Has Ortholog	Wild pepper	ABA	TRUE
Solyc12g049290	Capana12g000960;Capana12g000966	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc12g049290	Capana12g000960;Capana12g000966	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc12g049290	PGSC0003DMP400020586\tPGSC0003DMT400030304	Has Ortholog	Potato	ABA	FALSE
Solyc12g049290	SLYcer12g04302	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc12g049290	Sopen12g023770	Has Ortholog	S. pennellii	ABA	FALSE
Solyc12g049290	SPI12g04242	Has Ortholog	S. pimp.	ABA	FALSE
Solyc01g005100	Capang01g002857	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g005100	Capana08g000113	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g005100	PGSC0003DMP400039516\tPGSC0003DMT400058668	Has Ortholog	Potato	Auxin	FALSE
Solyc01g005100	SLYcer01g00126	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g005100	Sopen01g001120	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g005100	SPI01g00155	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g008930	PGSC0003DMP400039344\tPGSC0003DMT400058437	Has Ortholog	Potato	Auxin	FALSE
Solyc01g009040	Capang01g001540	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g009040	Capana01g001828	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g009040	PGSC0003DMP400039359\tPGSC0003DMT400058457	Has Ortholog	Potato	Auxin	FALSE
Solyc01g009040	SLYcer01g00567	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g009040	Sopen01g004530	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g009040	SPI01g00602	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g009970	Capang01g001702	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g009970	Capana01g001997	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g009970	PGSC0003DMP400009276\tPGSC0003DMT400013386	Has Ortholog	Potato	Auxin	FALSE
Solyc01g009970	SLYcer01g00806	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g009970	Sopen01g005540	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g009970	SPI01g00859	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g080330	NA	No Ortholog	None	Auxin	FALSE
Solyc01g087740	Capang02g000187	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g087740	Capana01g002680	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g087740	PGSC0003DMP400012126\tPGSC0003DMT400017642	Has Ortholog	Potato	Auxin	FALSE
Solyc01g087740	SLYcer01g06505	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g087740	Sopen01g034690	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g087740	SPI01g06772	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g087760	SLYcer01g06513	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g087760	SPI01g06780	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g095010	Capana08g000971	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g095010	PGSC0003DMP400000410\tPGSC0003DMT400000543	Has Ortholog	Potato	Auxin	FALSE
Solyc01g095010	SLYcer01g06978	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g095010	Sopen01g038790	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g095010	SPI01g07227	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g095220	NA	No Ortholog	None	Auxin	FALSE
Solyc01g095300	Capang01g003569	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g095300	Capana08g000993	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g095300	PGSC0003DMP400000183\tPGSC0003DMT400000243	Has Ortholog	Potato	Auxin	FALSE
Solyc01g095300	SLYcer01g07008	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g095300	Sopen01g039090	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g095300	SPI01g07257	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g100430	Capang01g004178	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g100430	Capana08g001609	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g100430	PGSC0003DMP400004978\tPGSC0003DMT400007170	Has Ortholog	Potato	Auxin	FALSE
Solyc01g100430	SLYcer01g07506	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g100430	Sopen01g043950	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g100430	SPI01g07764	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g104740	Capang00g002840	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g104740	Capana00g004275	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g104740	PGSC0003DMP400051868\tPGSC0003DMT400076572;PGSC0003DMP400051869\tPGSC0003DMT400076573	Has Ortholog	Potato	Auxin	TRUE
Solyc01g104740	PGSC0003DMP400051868\tPGSC0003DMT400076572;PGSC0003DMP400051869\tPGSC0003DMT400076573	Has Ortholog	Potato	Auxin	TRUE
Solyc01g104740	SLYcer01g07160	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g104740	Sopen01g047260	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g104740	SPI01g08101	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g107820	Capang01g004878	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g107820	Capana08g002328	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g107820	PGSC0003DMP400044887\tPGSC0003DMT400066574	Has Ortholog	Potato	Auxin	FALSE
Solyc01g107820	SLYcer01g08176	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g107820	Sopen01g049990	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g107860	Capang01g004885	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g107860	Capana08g002336	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g107860	PGSC0003DMP400044890\tPGSC0003DMT400066577	Has Ortholog	Potato	Auxin	FALSE
Solyc01g107860	SLYcer01g08175	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g107860	Sopen01g050020	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g107860	SPI01g08404	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g108890	Capana08g002469	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g108890	PGSC0003DMP400044983\tPGSC0003DMT400066719	Has Ortholog	Potato	Auxin	FALSE
Solyc01g108890	SLYcer01g08282	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g108890	Sopen01g051090	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g108890	SPI01g08504	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g109260	Capang01g005029	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g109260	Capana08g002504	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g109260	PGSC0003DMP400043706\tPGSC0003DMT400064826	Has Ortholog	Potato	Auxin	FALSE
Solyc01g109260	SLYcer01g08313	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g109260	Sopen01g051420	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g109260	SPI01g08536	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g109460	Capang01g005047	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g109460	Capana08g002522	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g109460	PGSC0003DMP400043694\tPGSC0003DMT400064806	Has Ortholog	Potato	Auxin	FALSE
Solyc01g109460	SLYcer01g08336	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc01g109460	Sopen01g051650	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc01g109460	SPI01g08558	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc01g109710	Capang01g005078	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc01g109710	Capana08g002543	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc01g109710	PGSC0003DMP400001424\tPGSC0003DMT400001927	Has Ortholog	Potato	Auxin	FALSE
